Customer.ID,Customer.Name,Segment
LS-172304,Lycoris Saunders,Consumer
MV-174854,Mark Van Huff,Consumer
CS-121304,Chad Sievert,Consumer
CS-121304,Chad Sievert,Consumer
AP-109154,Arthur Prichep,Consumer
JF-154904,Jeremy Farry,Consumer
WB-218504,William Brown,Consumer
JA-159704,Joseph Airdo,Consumer
SP-209204,Susan Pistek,Consumer
RL-196154,Rob Lucas,Consumer
KD-163454,Katherine Ducich,Consumer
JM-161954,Justin MacKendrick,Consumer
JM-161954,Justin MacKendrick,Consumer
RD-195854,Rob Dowd,Consumer
AB-101654,Alan Barnes,Consumer
AR-105404,Andy Reiter,Consumer
LH-171554,Logan Haushalter,Consumer
AR-105104,Andrew Roberts,Consumer
NG-184304,Nathan Gelder,Consumer
NG-184304,Nathan Gelder,Consumer
DP-130004,Darren Powers,Consumer
TS-213404,Toby Swindell,Consumer
KM-167204,Kunst Miller,Consumer
AI-108554,Arianne Irving,Consumer
CL-125654,Clay Ludtke,Consumer
SW-202454,Scot Wooten,Consumer
CC-122204,Chris Cortes,Consumer
LC-171404,Logan Currie,Consumer
LC-171404,Logan Currie,Consumer
JF-152954,Jason Fortune-,Consumer
JO-152804,Jas O'Carroll,Consumer
TB-216254,Trudy Brown,Consumer
TT-210704,Ted Trevino,Consumer
DO-134354,Denny Ordway,Consumer
LS-172454,Lynn Smith,Consumer
CL-125654,Clay Ludtke,Consumer
OT-187304,Olvera Toch,Consumer
BD-113204,Bill Donatelli,Consumer
MV-181904,Mike Vittorini,Consumer
GT-147554,Guy Thornton,Consumer
CC-123704,Christopher Conant,Consumer
JM-155804,Jill Matthias,Consumer
BD-113204,Bill Donatelli,Consumer
PS-187604,Pamela Stobb,Consumer
CC-124754,Cindy Chapman,Consumer
JE-157454,Joel Eaton,Consumer
XP-218654,Xylona Preis,Consumer
XP-218654,Xylona Preis,Consumer
XP-218654,Xylona Preis,Consumer
AI-108554,Arianne Irving,Consumer
AI-108554,Arianne Irving,Consumer
SO-203354,Sean O'Donnell,Consumer
CK-125954,Clytie Kelty,Consumer
PS-187604,Pamela Stobb,Consumer
LL-168404,Lauren Leatherbury,Consumer
DD-135704,Dorothy Dickinson,Consumer
DD-135704,Dorothy Dickinson,Consumer
DV-134654,Dianna Vittorini,Consumer
CC-126704,Craig Carreira,Consumer
TT-212204,Thomas Thornton,Consumer
TB-215204,Tracy Blumstein,Consumer
KT-164804,Kean Thornton,Consumer
LC-170504,Liz Carlisle,Consumer
JM-158654,John Murray,Consumer
DB-136604,Duane Benoit,Consumer
XP-218654,Xylona Preis,Consumer
GA-147254,Guy Armstrong,Consumer
EP-139154,Emily Phan,Consumer
CC-125504,Clay Cheatham,Consumer
EP-139154,Emily Phan,Consumer
EP-139154,Emily Phan,Consumer
SR-207404,Steven Roelle,Home Office
AY-105554,Andy Yotov,Corporate
AY-105554,Andy Yotov,Corporate
AH-100304,Aaron Hawkins,Corporate
VF-217154,Vicky Freymann,Home Office
JM-152654,Janet Molinari,Corporate
GG-146504,Greg Guthrie,Corporate
PL-189254,Paul Lucas,Home Office
MA-175604,Matt Abelman,Home Office
MC-181304,Mike Caudle,Corporate
AM-103604,Alice McCarthy,Corporate
BP-110954,Bart Pistole,Corporate
DE-132554,Deanra Eno,Home Office
AJ-107804,Anthony Jacobs,Corporate
CG-120404,Catherine Glotzbach,Home Office
MO-178004,Meg O'Connel,Home Office
RW-195404,Rick Wilson,Corporate
YC-218954,Yoseph Carroll,Corporate
SN-207104,Steve Nguyen,Home Office
DB-129703,Darren Budd,Corporate
SM-203204,Sean Miller,Home Office
SC-200504,Sample Company A,Home Office
SM-209504,Suzanne McNair,Corporate
RD-198104,Ross DeVincentis,Home Office
KF-162854,Karen Ferguson,Home Office
RS-194204,Ricardo Sperren,Corporate
NL-183104,Nancy Lomonaco,Home Office
RB-197954,Ross Baird,Home Office
AH-100754,Adam Hart,Corporate
SC-202304,Scot Coram,Corporate
SC-202304,Scot Coram,Corporate
JS-156854,Jim Sink,Corporate
LA-167804,Laura Armstrong,Corporate
CW-119054,Carl Weiss,Home Office
TH-212354,Tiffany House,Corporate
AP-107204,Anne Pryor,Home Office
HG-149654,Henry Goldwyn,Corporate
GK-146204,Grace Kelly,Corporate
BT-115304,Bradley Talbott,Home Office
BT-115304,Bradley Talbott,Home Office
NS-186404,Noel Staavos,Corporate
SM-209504,Suzanne McNair,Corporate
SS-201404,Saphhira Shifley,Corporate
RS-197654,Roland Schwarz,Corporate
AM-103604,Alice McCarthy,Corporate
CS-122504,Chris Selesnick,Corporate
RB-194654,Rick Bensley,Home Office
FH-142754,Frank Hawley,Corporate
JL-158354,John Lee,Consumer
JL-158354,John Lee,Consumer
MH-172904,Marc Harrigan,Home Office
SN-207104,Steve Nguyen,Home Office
BH-117104,Brosina Hoffman,Consumer
FM-142154,Filia McAdams,Corporate
AR-108254,Anthony Rawles,Corporate
AB-102554,Alejandro Ballentine,Home Office
GG-146504,Greg Guthrie,Corporate
TC-215354,Tracy Collins,Home Office
AP-109154,Arthur Prichep,Consumer
RB-194354,Richard Bierner,Consumer
RL-196154,Rob Lucas,Consumer
FP-143204,Frank Preis,Consumer
MC-178454,Michael Chen,Consumer
MC-178454,Michael Chen,Consumer
AZ-107504,Annie Zypern,Consumer
AB-101654,Alan Barnes,Consumer
PC-190004,Pauline Chand,Home Office
GB-145304,George Bell,Corporate
SN-205604,Skye Norling,Home Office
DP-130004,Darren Powers,Consumer
FC-142454,Frank Carlisle,Home Office
PG-188954,Paul Gonzalez,Consumer
PG-188954,Paul Gonzalez,Consumer
HG-149654,Henry Goldwyn,Corporate
JO-152804,Jas O'Carroll,Consumer
JO-152804,Jas O'Carroll,Consumer
PW-190304,Pauline Webber,Corporate
TS-214304,Tom Stivers,Corporate
LR-169154,Lena Radford,Consumer
JS-156854,Jim Sink,Corporate
CS-119504,Carlos Soltero,Consumer
AI-108554,Arianne Irving,Consumer
TB-212504,Tim Brockman,Consumer
MS-173654,Maribeth Schnelling,Consumer
FH-143654,Fred Hopkins,Corporate
AP-107204,Anne Pryor,Home Office
MC-181304,Mike Caudle,Corporate
TT-214604,Tonja Turnell,Home Office
ED-138854,Emily Ducich,Home Office
SP-208604,Sung Pak,Corporate
BP-110504,Barry Pond,Corporate
TB-214004,Tom Boeckenhauer,Consumer
AP-109154,Arthur Prichep,Consumer
AP-109154,Arthur Prichep,Consumer
AP-109154,Arthur Prichep,Consumer
EA-140354,Erin Ashbrook,Corporate
DD-135704,Dorothy Dickinson,Consumer
RL-196154,Rob Lucas,Consumer
BW-112004,Ben Wallace,Consumer
SC-208004,Stuart Calhoun,Consumer
WB-218504,William Brown,Consumer
LC-170504,Liz Carlisle,Consumer
DP-131054,Dave Poirier,Corporate
DP-131054,Dave Poirier,Corporate
SC-205754,Sonia Cooley,Consumer
RW-196904,Robert Waldorf,Consumer
ZC-219104,Zuschuss Carroll,Consumer
JE-157154,Joe Elijah,Consumer
AM-103604,Alice McCarthy,Corporate
AT-104354,Alyssa Tate,Home Office
EP-139154,Emily Phan,Consumer
BN-115154,Bradley Nguyen,Consumer
BN-115154,Bradley Nguyen,Consumer
PO-188654,Patrick O'Donnell,Consumer
PS-189704,Paul Stevenson,Home Office
VF-217154,Vicky Freymann,Home Office
BB-109904,Barry Blumstein,Corporate
TS-213704,Todd Sumrall,Corporate
TS-213704,Todd Sumrall,Corporate
TS-213704,Todd Sumrall,Corporate
MA-175604,Matt Abelman,Home Office
SS-204104,Shahid Shariari,Consumer
JD-161504,Justin Deggeller,Corporate
SC-200954,Sanjit Chand,Consumer
JB-159254,Joni Blumstein,Consumer
RS-197654,Roland Schwarz,Corporate
BP-110954,Bart Pistole,Corporate
BP-110954,Bart Pistole,Corporate
AT-104354,Alyssa Tate,Home Office
JM-161954,Justin MacKendrick,Consumer
DE-132554,Deanra Eno,Home Office
CD-127904,Cynthia Delaney,Home Office
MM-182804,Muhammed MacIntyre,Corporate
CS-124004,Christopher Schild,Home Office
CM-121904,Charlotte Melton,Consumer
NG-184304,Nathan Gelder,Consumer
HM-148604,Harry Marie,Corporate
KD-162704,Karen Daniels,Consumer
MC-175754,Matt Collins,Consumer
LR-169154,Lena Radford,Consumer
MC-176354,Matthew Clasen,Corporate
CC-122204,Chris Cortes,Consumer
SC-200954,Sanjit Chand,Consumer
DV-130454,Darrin Van Huff,Corporate
MV-181904,Mike Vittorini,Consumer
AH-100754,Adam Hart,Corporate
AH-100754,Adam Hart,Corporate
GT-147554,Guy Thornton,Consumer
LB-167354,Larry Blacks,Consumer
LA-167804,Laura Armstrong,Corporate
PF-192254,Phillip Flathmann,Consumer
PF-192254,Phillip Flathmann,Consumer
EM-140954,Eudokia Martin,Corporate
EM-140954,Eudokia Martin,Corporate
AI-108554,Arianne Irving,Consumer
AI-108554,Arianne Irving,Consumer
JP-161354,Julie Prescott,Home Office
CV-128054,Cynthia Voltz,Corporate
BT-115304,Bradley Talbott,Home Office
JK-153254,Jason Klamczynski,Corporate
SC-207254,Steven Cartwright,Consumer
DB-129703,Darren Budd,Corporate
DB-129703,Darren Budd,Corporate
MT-180704,Michelle Tran,Home Office
ZD-219254,Zuschuss Donatelli,Consumer
WB-218504,William Brown,Consumer
GA-145154,George Ashbrook,Consumer
MH-172904,Marc Harrigan,Home Office
JB-160004,Joy Bell-,Consumer
BM-115754,Brendan Murry,Corporate
AM-103604,Alice McCarthy,Corporate
AT-104354,Alyssa Tate,Home Office
RB-194654,Rick Bensley,Home Office
JL-158354,John Lee,Consumer
MH-172904,Marc Harrigan,Home Office
GH-144104,Gary Hansen,Home Office
GH-144104,Gary Hansen,Home Office
BF-111704,Ben Ferrer,Home Office
JM-152654,Janet Molinari,Corporate
AP-109154,Arthur Prichep,Consumer
AP-109154,Arthur Prichep,Consumer
GG-146504,Greg Guthrie,Corporate
GG-146504,Greg Guthrie,Corporate
GG-146504,Greg Guthrie,Corporate
RD-195854,Rob Dowd,Consumer
BT-113954,Bill Tyler,Corporate
LS-169454,Linda Southworth,Corporate
HG-150254,Hunter Glantz,Consumer
SB-201854,Sarah Brown,Consumer
SB-201854,Sarah Brown,Consumer
CC-121454,Charles Crestani,Consumer
AM-107054,Anne McFarland,Consumer
YS-218804,Yana Sorensen,Corporate
AG-109004,Arthur Gainer,Consumer
AG-109004,Arthur Gainer,Consumer
LC-171404,Logan Currie,Consumer
AH-106904,Anna Häberlin,Corporate
CL-125654,Clay Ludtke,Consumer
BD-113204,Bill Donatelli,Consumer
JH-159104,Jonathan Howell,Consumer
TC-215354,Tracy Collins,Home Office
HG-149654,Henry Goldwyn,Corporate
SB-201704,Sarah Bern,Consumer
KD-166154,Ken Dana,Corporate
KD-166154,Ken Dana,Corporate
HG-149654,Henry Goldwyn,Corporate
KN-163904,Katherine Nockton,Corporate
RA-192854,Ralph Arnett,Consumer
KD-164954,Keith Dawkins,Corporate
PV-189854,Paul Van Hugh,Home Office
KE-164204,Katrina Edelman,Corporate
SN-207104,Steve Nguyen,Home Office
BH-117104,Brosina Hoffman,Consumer
MA-179954,Michelle Arnett,Home Office
PL-189254,Paul Lucas,Home Office
RL-196154,Rob Lucas,Consumer
JC-161054,Julie Creighton,Corporate
BF-111704,Ben Ferrer,Home Office
BF-111704,Ben Ferrer,Home Office
AB-106004,Ann Blume,Corporate
LH-171554,Logan Haushalter,Consumer
AB-101654,Alan Barnes,Consumer
TT-212654,Tim Taslimi,Corporate
NL-183104,Nancy Lomonaco,Home Office
CB-120254,Cassandra Brandow,Consumer
CB-120254,Cassandra Brandow,Consumer
GB-145304,George Bell,Corporate
SC-204404,Shaun Chance,Corporate
RP-198554,Roy Phan,Corporate
RP-198554,Roy Phan,Corporate
RM-196754,Robert Marley,Home Office
TS-213404,Toby Swindell,Consumer
GB-145304,George Bell,Corporate
KT-164654,Kean Takahito,Consumer
CL-125654,Clay Ludtke,Consumer
CL-125654,Clay Ludtke,Consumer
JB-154004,Jennifer Braxton,Corporate
TZ-215804,Tracy Zic,Consumer
BF-110054,Barry Franz,Home Office
RB-197954,Ross Baird,Home Office
OT-187304,Olvera Toch,Consumer
AS-102404,Alan Shonely,Consumer
RA-198854,Ruben Ausman,Corporate
KM-166604,Khloe Miller,Consumer
CA-120554,Cathy Armstrong,Home Office
LR-169154,Lena Radford,Consumer
EH-137654,Edward Hooks,Corporate
CS-119504,Carlos Soltero,Consumer
JD-158954,Jonathan Doherty,Corporate
XP-218654,Xylona Preis,Consumer
XP-218654,Xylona Preis,Consumer
MC-176054,Matt Connell,Corporate
MS-173654,Maribeth Schnelling,Consumer
GM-144404,Gary McGarr,Consumer
AP-107204,Anne Pryor,Home Office
MC-181304,Mike Caudle,Corporate
MC-181304,Mike Caudle,Corporate
JL-158354,John Lee,Consumer
JL-158354,John Lee,Consumer
SP-208604,Sung Pak,Corporate
BP-110504,Barry Pond,Corporate
GZ-145454,George Zrebassa,Corporate
PS-187604,Pamela Stobb,Consumer
PS-187604,Pamela Stobb,Consumer
PS-187604,Pamela Stobb,Consumer
RD-195854,Rob Dowd,Consumer
AT-107354,Annie Thurman,Consumer
KB-162404,Karen Bern,Corporate
TH-212354,Tiffany House,Corporate
CS-125054,Cindy Stewart,Consumer
ZC-219104,Zuschuss Carroll,Consumer
GA-147254,Guy Armstrong,Consumer
MC-181004,Mick Crebagga,Consumer
FH-143654,Fred Hopkins,Corporate
BD-116054,Brian Dahlen,Consumer
BD-116054,Brian Dahlen,Consumer
CA-122654,Christina Anderson,Consumer
CA-122654,Christina Anderson,Consumer
CA-122654,Christina Anderson,Consumer
DK-128354,Damala Kotsonis,Corporate
AA-103154,Alex Avila,Consumer
PK-189104,Paul Knutson,Home Office
CM-124454,Chuck Magee,Consumer
CM-124454,Chuck Magee,Consumer
DS-130304,Darrin Sayre,Home Office
ME-180104,Michelle Ellison,Corporate
NP-183254,Naresj Patel,Consumer
NP-183254,Naresj Patel,Consumer
NC-185354,Nick Crebassa,Corporate
KL-166454,Ken Lonsdale,Consumer
KL-166454,Ken Lonsdale,Consumer
SS-205904,Sonia Sunley,Consumer
SS-205904,Sonia Sunley,Consumer
BD-116054,Brian Dahlen,Consumer
ZD-219254,Zuschuss Donatelli,Consumer
VP-217604,Victoria Pisteka,Corporate
DP-133904,Dennis Pardue,Home Office
DP-133904,Dennis Pardue,Home Office
DP-133904,Dennis Pardue,Home Office
JK-156404,Jim Kriz,Home Office
ES-140204,Erica Smith,Consumer
HF-149954,Herbert Flentye,Consumer
HF-149954,Herbert Flentye,Consumer
HF-149954,Herbert Flentye,Consumer
JD-160604,Julia Dunbar,Consumer
SJ-205004,Shirley Jackson,Consumer
DN-136904,Duane Noonan,Consumer
DN-136904,Duane Noonan,Consumer
RP-192704,Rachel Payne,Corporate
